candidate_id,family,chemistry_class,source,closed_graph_delta_g_kcal_per_mol,panel_relative_ddg_kcal_per_mol,pbcnet_relative_ddg_kcal_per_mol,panel_id,pbcnet_rank,panel_local_score_rank,rbfe_edge_present,rbfe_edge_count,solvent_or_water_probe,closed_graph_loop_ids,runtime_ligand_path,ligand_path,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,admet_property_packet_schema,admet_property_packet_proof_path
JTY023_5OCF3_pyrimidyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_5f_pyrimidyl_wave3_20260421T1638Z/runtime/ligands/JTY023_5OCF3_pyrimidyl_tail.sdf,,,,,,,,,
JTY023_imidazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,0.7857439958081935,-0.393527,,jty_pbcnet_tail_cleanup_r1,,1,,,,"['jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY023_imidazole_tail.sdf,,,,,,,,,
JTY023_oxadiazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,2.17832577775485,,,,,,,,,"['jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_oxadiazole_tail.sdf,,,,,,,,,
JTY023_pyrazine_tail,JTY023,tail,pbcnet_runtime_ligand_scan,0.1965695369927608,-0.199321,,jty_pbcnet_tail_cleanup_r1,,3,,,,"['jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z', 'jty_top10_posebacked_closed_graph_20260421T204322Z', 'jty_top10_posebacked_closed_graph_full_20260421T212119Z']",/usr/local/jldos/evidence/pbcnet/jty_4cl_pyridyl_cycle1_closed_graph_cpu_from_gpu_dock_20260421T221258Z/runtime/ligands/JTY023_pyrazine_tail.sdf,,,,,,,,,
JTY023_pyrazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_pyrazole_tail.sdf,,,,,,,,,
JTY023_pyridazine_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_pyridazine_tail.sdf,,,,,,,,,
JTY023_pyridyl_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY023_pyridyl_tail.sdf,,,,,,,,,
JTY023_pyrimidine_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_pyrimidine_tail.sdf,,,,,,,,,
JTY023_tetrazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,1.4000780970953692,,,,,,,,,['jty_top10_posebacked_closed_graph_full_20260421T212119Z'],/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_tetrazole_tail.sdf,,,,,,,,,
JTY023_thiazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_tail_expansion_20260421T0728Z/runtime/ligands/JTY023_thiazole_tail.sdf,,,,,,,,,
JTY023_triazole_tail,JTY023,tail,pbcnet_runtime_ligand_scan,1.230150818146739,,,,,,,,,['jty_top10_posebacked_closed_graph_full_20260421T212119Z'],/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY023_triazole_tail.sdf,,,,,,,,,
JTY024_NMe_formamide_cap,JTY024,cap,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY024_NMe_formamide_cap.sdf,,,,,,,,,
JTY024_cyclopropanecarboxamide_cap,JTY024,cap,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY024_cyclopropanecarboxamide_cap.sdf,,,,,,,,,
JTY024_formamide_cap,JTY024,cap,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY024_formamide_cap.sdf,,,,,,,,,
JTY024_hydroxymethyl_cap,JTY024,cap,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY024_hydroxymethyl_cap.sdf,,,,,,,,,
JTY024_urea_cap,JTY024,cap,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY024_urea_cap.sdf,,,,,,,,,
JTY026_monoF_aniline,JTY026,aniline,pbcnet_runtime_ligand_scan,,,,,,,,,,,/usr/local/jldos/evidence/pbcnet/jty_next_chemistry_20260420T193745Z/runtime/ligands/JTY026_monoF_aniline.sdf,,,,,,,,,
